Input, avgRuntime, melmax, best, worst, std
100 4 10, 5.77, 92.20, 87.00, 94.00, 1.95
100 4 20, 7.34, 74.46, 73.00, 76.00, 1.19
300 4 10, 21.19, 109.23, 95.00, 119.00, 5.17
300 4 20, 38.22, 182.60, 180.00, 185.00, 1.40
500 4 10, 45.65, 291.33, 287.00, 295.00, 2.23
500 4 20, 116.62, 302.70, 300.00, 305.00, 1.72
