Seed, Runtime(s), melmax
2, 60.18, 309.00
3, 63.77, 309.00
1, 64.89, 309.00
4, 66.06, 307.00
7, 59.92, 308.00
8, 64.59, 309.00
6, 65.17, 310.00
5, 66.23, 309.00
9, 63.43, 309.00
11, 63.61, 310.00
10, 66.71, 310.00
12, 70.70, 308.00
15, 61.80, 310.00
14, 65.10, 309.00
13, 65.44, 309.00
16, 70.12, 309.00
17, 64.04, 309.00
19, 66.74, 309.00
18, 66.81, 309.00
20, 67.40, 309.00
21, 65.28, 309.00
22, 68.47, 310.00
23, 70.22, 309.00
24, 72.35, 309.00
25, 73.03, 309.00
27, 77.56, 309.00
26, 78.63, 310.00
28, 88.26, 309.00
29, 52.01, 309.00
30, 52.17, 309.00
