Seed, Runtime(s), melmax
2, 40.40, 182.00
3, 41.18, 183.00
1, 41.22, 184.00
4, 42.63, 182.00
8, 35.85, 185.00
7, 36.87, 184.00
6, 37.74, 183.00
5, 38.65, 185.00
12, 36.38, 182.00
10, 37.07, 182.00
9, 37.41, 184.00
11, 37.79, 183.00
14, 39.20, 183.00
16, 39.71, 181.00
15, 41.81, 182.00
13, 42.22, 184.00
18, 39.49, 182.00
17, 39.87, 180.00
19, 40.23, 184.00
20, 40.71, 184.00
22, 36.35, 180.00
23, 36.78, 184.00
21, 36.93, 181.00
24, 37.20, 183.00
27, 37.20, 182.00
25, 37.49, 181.00
26, 37.48, 181.00
28, 37.71, 182.00
30, 31.06, 184.00
29, 32.00, 181.00
