Seed, Runtime(s), melmax
1, 20.19, 111.00
2, 20.49, 104.00
4, 20.62, 107.00
3, 20.72, 104.00
6, 21.17, 109.00
7, 21.43, 110.00
5, 21.43, 107.00
8, 22.26, 103.00
9, 20.87, 104.00
11, 21.53, 108.00
12, 22.48, 114.00
10, 22.73, 114.00
16, 21.19, 103.00
14, 21.38, 110.00
15, 22.49, 119.00
13, 22.70, 109.00
18, 20.88, 108.00
19, 20.99, 111.00
20, 21.03, 105.00
17, 21.52, 108.00
21, 21.35, 114.00
22, 21.39, 119.00
23, 21.60, 114.00
24, 21.97, 108.00
28, 20.00, 95.00
27, 21.15, 112.00
25, 21.23, 107.00
26, 21.97, 115.00
30, 18.22, 116.00
29, 18.73, 109.00
