Seed, Runtime(s), melmax
3, 45.43, 290.00
1, 46.31, 291.00
4, 47.03, 295.00
2, 47.41, 293.00
8, 47.90, 289.00
7, 49.88, 295.00
6, 50.17, 290.00
5, 50.16, 292.00
11, 47.65, 295.00
12, 48.58, 292.00
9, 50.26, 292.00
10, 50.55, 292.00
14, 43.17, 292.00
16, 43.37, 295.00
13, 44.21, 293.00
15, 44.49, 293.00
17, 43.73, 289.00
20, 44.02, 289.00
18, 45.89, 287.00
19, 47.12, 292.00
23, 45.45, 291.00
22, 46.56, 289.00
24, 46.78, 293.00
21, 47.53, 290.00
25, 42.73, 293.00
26, 43.09, 289.00
27, 44.81, 292.00
28, 45.84, 287.00
30, 33.90, 290.00
29, 35.71, 290.00
