Seed, Runtime(s), melmax
1, 27.51, 265.00
4, 27.44, 264.00
2, 28.06, 254.00
3, 28.70, 269.00
6, 27.79, 253.00
7, 28.20, 264.00
5, 29.31, 270.00
8, 30.43, 266.00
12, 28.21, 269.00
9, 29.11, 257.00
10, 29.37, 258.00
11, 29.77, 268.00
14, 27.65, 268.00
13, 29.27, 255.00
15, 29.31, 262.00
16, 30.00, 273.00
17, 29.93, 268.00
18, 30.05, 254.00
19, 30.85, 265.00
20, 31.00, 272.00
21, 29.78, 268.00
23, 29.89, 263.00
24, 29.92, 263.00
22, 30.14, 272.00
27, 28.33, 263.00
26, 29.31, 252.00
25, 29.58, 267.00
28, 29.62, 265.00
30, 23.45, 272.00
29, 25.06, 254.00
