Seed, Runtime(s), ecmin
3, 71.59, 2331.00
2, 74.16, 2331.00
1, 74.45, 2331.00
4, 72.82, 2337.00
6, 73.69, 2328.00
5, 74.10, 2337.00
7, 73.59, 2331.00
9, 73.78, 2331.00
8, 83.99, 2337.00
10, 73.49, 2334.00
11, 74.41, 2334.00
12, 74.68, 2334.00
13, 74.43, 2331.00
14, 74.96, 2334.00
15, 76.30, 2337.00
17, 72.97, 2331.00
16, 73.72, 2328.00
18, 73.85, 2334.00
19, 74.53, 2334.00
21, 74.94, 2328.00
20, 78.07, 2328.00
24, 72.97, 2334.00
22, 74.35, 2337.00
23, 77.20, 2328.00
25, 71.03, 2328.00
27, 73.05, 2334.00
26, 77.83, 2334.00
28, 76.11, 2334.00
30, 76.14, 2337.00
29, 83.03, 2325.00
