Seed, Runtime(s), ecmin
2, 54.85, 1941.00
3, 56.54, 1944.00
1, 57.59, 1944.00
4, 54.84, 1941.00
6, 55.76, 1947.00
5, 56.05, 1935.00
9, 52.99, 1944.00
7, 55.10, 1944.00
8, 57.41, 1941.00
10, 52.91, 1944.00
11, 54.02, 1941.00
12, 54.96, 1941.00
13, 52.46, 1944.00
14, 53.59, 1947.00
15, 55.30, 1944.00
18, 55.67, 1947.00
16, 56.53, 1947.00
17, 57.04, 1944.00
19, 57.24, 1944.00
21, 58.33, 1947.00
20, 60.32, 1941.00
24, 54.70, 1944.00
23, 54.75, 1944.00
22, 55.56, 1944.00
26, 54.38, 1947.00
25, 55.78, 1944.00
27, 55.84, 1944.00
28, 54.75, 1947.00
29, 55.58, 1944.00
30, 55.97, 1944.00
