Seed, Runtime(s), ecmin
3, 8.05, 696.00
2, 8.66, 696.00
1, 9.00, 696.00
6, 8.47, 696.00
5, 8.68, 696.00
4, 9.21, 696.00
7, 9.02, 696.00
9, 9.53, 696.00
8, 10.02, 696.00
12, 9.38, 696.00
11, 9.90, 699.00
10, 10.22, 696.00
14, 8.27, 699.00
13, 9.43, 696.00
15, 9.75, 696.00
16, 7.80, 696.00
17, 8.18, 696.00
18, 8.75, 696.00
19, 8.58, 696.00
21, 8.61, 696.00
20, 8.84, 696.00
23, 9.17, 696.00
24, 9.44, 699.00
22, 9.91, 699.00
26, 7.31, 699.00
27, 8.60, 696.00
25, 8.70, 696.00
30, 8.20, 699.00
28, 8.72, 699.00
29, 8.88, 696.00
