Seed, Runtime(s), ecmin
2, 231.23, 2865.00
3, 235.36, 2871.00
6, 235.50, 2865.00
4, 236.44, 2871.00
1, 238.18, 2871.00
5, 241.28, 2865.00
12, 227.86, 2868.00
10, 233.52, 2859.00
7, 234.08, 2871.00
11, 235.55, 2868.00
9, 236.08, 2862.00
8, 238.50, 2871.00
14, 227.36, 2871.00
17, 230.00, 2865.00
13, 233.20, 2868.00
16, 236.94, 2868.00
15, 237.44, 2868.00
18, 238.60, 2862.00
23, 228.08, 2868.00
24, 230.93, 2865.00
21, 232.40, 2868.00
22, 233.33, 2865.00
19, 233.57, 2868.00
20, 234.68, 2868.00
28, 216.36, 2871.00
29, 225.90, 2856.00
26, 228.46, 2865.00
27, 230.11, 2862.00
25, 233.22, 2868.00
30, 234.43, 2865.00
