Seed, Runtime(s), ecmin
3, 26.96, 1353.00
1, 27.02, 1329.00
2, 29.34, 1326.00
5, 25.99, 1353.00
4, 26.32, 1332.00
6, 28.20, 1323.00
9, 27.05, 1338.00
8, 27.81, 1344.00
7, 27.97, 1344.00
10, 27.84, 1350.00
12, 28.58, 1347.00
11, 30.57, 1329.00
13, 26.82, 1332.00
15, 28.94, 1332.00
14, 30.38, 1329.00
17, 27.06, 1344.00
18, 27.48, 1350.00
16, 27.93, 1335.00
20, 25.92, 1338.00
19, 26.52, 1341.00
21, 29.63, 1311.00
24, 25.76, 1350.00
22, 27.23, 1332.00
23, 28.70, 1335.00
26, 27.49, 1344.00
25, 27.73, 1323.00
27, 28.22, 1344.00
30, 25.19, 1350.00
29, 27.04, 1344.00
28, 29.25, 1332.00
