Seed, Runtime(s), ecmin
2, 270.20, 3381.00
4, 290.02, 3378.00
1, 292.66, 3372.00
6, 293.19, 3384.00
3, 295.45, 3384.00
5, 296.43, 3378.00
9, 285.24, 3384.00
8, 293.22, 3384.00
12, 293.40, 3378.00
11, 295.83, 3378.00
7, 299.81, 3384.00
10, 301.23, 3384.00
15, 279.64, 3384.00
17, 282.30, 3384.00
13, 283.05, 3384.00
18, 283.50, 3384.00
16, 288.00, 3381.00
14, 292.60, 3381.00
20, 275.71, 3378.00
23, 282.04, 3381.00
22, 284.86, 3381.00
19, 291.01, 3378.00
24, 291.34, 3381.00
21, 294.84, 3381.00
27, 277.76, 3384.00
30, 287.30, 3378.00
26, 289.77, 3384.00
28, 292.06, 3375.00
25, 294.62, 3381.00
29, 294.88, 3381.00
