Seed, Runtime(s), ecmin
3, 37.53, 1767.00
1, 38.47, 1761.00
2, 38.59, 1752.00
5, 37.73, 1755.00
6, 37.79, 1767.00
4, 38.02, 1767.00
9, 37.83, 1764.00
8, 38.46, 1758.00
7, 40.35, 1752.00
11, 37.73, 1758.00
12, 37.97, 1755.00
10, 39.09, 1758.00
14, 36.87, 1764.00
13, 36.96, 1767.00
15, 38.19, 1764.00
18, 38.55, 1764.00
17, 38.91, 1761.00
16, 40.45, 1755.00
20, 38.35, 1755.00
21, 39.51, 1761.00
19, 40.24, 1761.00
23, 37.96, 1761.00
24, 38.29, 1764.00
22, 38.53, 1764.00
27, 38.69, 1755.00
26, 39.23, 1752.00
25, 40.06, 1755.00
28, 38.76, 1755.00
29, 38.84, 1761.00
30, 39.50, 1758.00
