Seed, Runtime(s), ecmin
1, 91.26, 2733.00
2, 91.55, 2733.00
3, 91.76, 2730.00
6, 91.38, 2736.00
4, 94.31, 2724.00
5, 95.51, 2730.00
8, 94.15, 2724.00
9, 96.84, 2727.00
7, 97.83, 2721.00
10, 90.88, 2730.00
11, 94.62, 2730.00
12, 95.98, 2730.00
14, 88.90, 2727.00
15, 91.92, 2730.00
13, 95.57, 2718.00
16, 89.56, 2736.00
18, 89.80, 2736.00
17, 90.66, 2730.00
20, 90.40, 2739.00
19, 90.61, 2739.00
21, 91.53, 2736.00
23, 91.53, 2727.00
24, 93.37, 2739.00
22, 94.14, 2733.00
26, 89.73, 2730.00
25, 90.20, 2736.00
27, 92.24, 2721.00
29, 91.86, 2733.00
28, 92.09, 2730.00
30, 95.39, 2727.00
