Seed, Runtime(s), melmax
2, 102.32, 311
1, 103.52, 310
4, 105.17, 310
6, 106.14, 310
3, 111.51, 307
5, 111.54, 309
8, 92.21, 309
12, 92.93, 311
10, 94.37, 309
9, 96.06, 309
7, 96.89, 309
11, 100.80, 310
14, 105.16, 309
18, 106.62, 310
15, 108.70, 309
17, 110.04, 309
16, 114.52, 309
13, 115.10, 309
20, 104.16, 310
19, 111.77, 309
23, 111.74, 309
24, 112.36, 308
21, 112.72, 309
22, 113.05, 309
29, 99.16, 310
27, 102.83, 310
26, 103.55, 310
28, 104.88, 310
30, 107.34, 309
25, 108.76, 310
