Seed, Runtime(s), melmax
3, 174.01, 305
2, 174.20, 306
1, 175.99, 301
4, 179.07, 306
5, 179.56, 305
6, 182.72, 304
9, 158.33, 304
10, 173.67, 302
7, 176.88, 305
11, 180.41, 303
8, 183.35, 305
12, 187.33, 304
16, 161.74, 305
17, 162.81, 302
13, 163.28, 303
14, 163.81, 305
15, 168.38, 304
18, 169.99, 302
23, 157.10, 307
21, 157.54, 304
20, 161.94, 300
22, 163.32, 306
19, 163.60, 305
24, 166.89, 305
27, 163.35, 300
30, 164.30, 305
28, 169.09, 305
26, 169.91, 305
25, 173.29, 305
29, 174.55, 304
