Seed, Runtime(s), ecmin
2, 98.87, 2031.00
5, 101.63, 2043.00
4, 102.84, 2031.00
3, 102.99, 2025.00
6, 103.94, 2025.00
1, 104.68, 2019.00
8, 95.91, 2025.00
12, 97.38, 2031.00
7, 98.66, 2022.00
9, 98.81, 2019.00
11, 99.17, 2025.00
10, 101.06, 2025.00
14, 102.42, 2031.00
16, 103.64, 2028.00
13, 104.91, 2031.00
15, 104.92, 2037.00
18, 106.54, 2019.00
17, 106.78, 2028.00
20, 99.96, 2034.00
23, 100.48, 2031.00
24, 101.14, 2034.00
22, 102.29, 2028.00
19, 103.07, 2028.00
21, 104.60, 2022.00
28, 97.59, 2028.00
25, 100.89, 2028.00
27, 100.94, 2034.00
30, 101.32, 2028.00
26, 102.96, 2043.00
29, 106.42, 2025.00
