Seed, Runtime(s), ecmin
3, 59.97, 1938.00
2, 61.23, 1935.00
1, 65.75, 1941.00
5, 60.04, 1929.00
6, 60.26, 1935.00
4, 60.88, 1938.00
7, 60.52, 1926.00
9, 60.51, 1935.00
8, 62.46, 1923.00
11, 59.75, 1932.00
10, 60.40, 1935.00
12, 60.47, 1929.00
15, 57.78, 1944.00
13, 59.74, 1938.00
14, 60.77, 1935.00
18, 59.02, 1941.00
16, 60.06, 1932.00
17, 60.68, 1938.00
20, 60.60, 1932.00
21, 61.73, 1932.00
19, 63.20, 1932.00
22, 58.18, 1938.00
23, 59.26, 1938.00
24, 60.31, 1935.00
27, 59.45, 1938.00
26, 63.16, 1941.00
25, 63.86, 1935.00
29, 60.46, 1944.00
30, 60.59, 1929.00
28, 61.51, 1938.00
