Seed, Runtime(s), ecmin
2, 153.20, 2253.00
1, 153.77, 2244.00
3, 155.48, 2256.00
4, 156.12, 2253.00
6, 157.29, 2247.00
5, 157.96, 2250.00
11, 142.75, 2256.00
12, 143.92, 2259.00
10, 146.00, 2247.00
9, 147.50, 2256.00
7, 147.64, 2256.00
8, 148.27, 2247.00
13, 142.57, 2256.00
17, 145.79, 2250.00
16, 146.10, 2259.00
18, 146.74, 2244.00
15, 147.16, 2250.00
14, 147.58, 2256.00
22, 153.63, 2247.00
21, 157.05, 2253.00
20, 157.34, 2253.00
19, 157.90, 2262.00
24, 160.60, 2253.00
23, 160.91, 2250.00
26, 135.02, 2253.00
29, 140.35, 2259.00
28, 141.90, 2253.00
25, 143.60, 2256.00
27, 144.14, 2250.00
30, 147.76, 2238.00
