Seed, Runtime(s), ecmin
2, 9.47, 696.00
1, 9.59, 696.00
3, 10.42, 696.00
4, 9.49, 696.00
5, 9.73, 696.00
6, 10.13, 696.00
7, 8.19, 696.00
9, 9.15, 696.00
8, 9.37, 696.00
12, 10.55, 696.00
10, 10.77, 696.00
11, 10.91, 696.00
14, 8.43, 699.00
13, 8.50, 699.00
15, 10.36, 696.00
18, 9.63, 696.00
17, 9.65, 699.00
16, 9.92, 696.00
20, 8.99, 696.00
21, 9.26, 696.00
19, 9.94, 696.00
23, 8.91, 696.00
22, 8.95, 699.00
24, 10.18, 699.00
27, 9.07, 696.00
26, 10.00, 696.00
25, 10.09, 696.00
29, 8.86, 699.00
30, 9.04, 696.00
28, 9.54, 696.00
