Seed, Runtime(s), ecmin
2, 70.81, 1695.00
5, 72.04, 1686.00
1, 74.45, 1689.00
3, 74.52, 1698.00
4, 74.67, 1683.00
6, 75.09, 1689.00
10, 74.75, 1689.00
9, 75.45, 1698.00
8, 76.50, 1692.00
11, 77.62, 1698.00
12, 80.45, 1686.00
7, 80.81, 1686.00
18, 72.94, 1698.00
16, 76.13, 1695.00
17, 76.49, 1680.00
14, 78.26, 1695.00
15, 78.41, 1689.00
13, 78.67, 1689.00
21, 72.49, 1701.00
24, 75.26, 1701.00
23, 76.04, 1686.00
19, 76.51, 1698.00
20, 78.62, 1695.00
22, 78.70, 1692.00
30, 74.06, 1695.00
29, 76.16, 1695.00
27, 76.49, 1689.00
25, 77.12, 1689.00
26, 78.43, 1680.00
28, 78.96, 1689.00
