Seed, Runtime(s), ecmin
3, 298.41, 3243.00
4, 304.47, 3237.00
1, 311.73, 3255.00
2, 312.03, 3237.00
5, 313.74, 3237.00
6, 316.79, 3249.00
12, 295.43, 3234.00
9, 301.14, 3240.00
10, 306.87, 3231.00
7, 311.43, 3252.00
11, 312.13, 3237.00
8, 315.40, 3237.00
17, 308.40, 3243.00
16, 311.37, 3246.00
15, 311.50, 3237.00
14, 312.91, 3249.00
13, 317.56, 3252.00
18, 318.11, 3255.00
21, 312.34, 3240.00
24, 314.65, 3249.00
20, 315.48, 3243.00
19, 321.50, 3249.00
22, 323.07, 3231.00
23, 326.94, 3243.00
29, 303.56, 3243.00
30, 305.26, 3234.00
28, 305.90, 3243.00
27, 309.81, 3237.00
25, 310.63, 3240.00
26, 316.33, 3243.00
