Seed, Runtime(s), ecmin
5, 253.07, 2928.00
1, 255.96, 2922.00
6, 257.06, 2913.00
3, 257.67, 2934.00
4, 260.33, 2925.00
2, 261.11, 2925.00
10, 244.46, 2925.00
7, 249.30, 2919.00
9, 252.01, 2937.00
11, 252.44, 2919.00
12, 253.25, 2922.00
8, 258.88, 2913.00
13, 240.62, 2934.00
14, 249.55, 2937.00
15, 255.45, 2922.00
16, 256.02, 2922.00
17, 257.90, 2934.00
18, 258.41, 2928.00
20, 252.44, 2922.00
22, 253.26, 2931.00
23, 253.83, 2937.00
24, 254.78, 2931.00
21, 255.18, 2922.00
19, 260.16, 2937.00
25, 242.55, 2925.00
26, 245.04, 2925.00
27, 245.46, 2922.00
28, 254.61, 2922.00
30, 258.14, 2928.00
29, 258.25, 2922.00
