Seed, Runtime(s), ecmin
1, 29.80, 1323.00
3, 31.41, 1323.00
2, 34.19, 1320.00
5, 30.65, 1332.00
6, 31.85, 1320.00
4, 32.38, 1314.00
7, 29.63, 1326.00
9, 29.98, 1323.00
8, 30.18, 1329.00
10, 29.37, 1317.00
12, 30.66, 1326.00
11, 32.70, 1314.00
14, 29.47, 1326.00
15, 29.99, 1323.00
13, 31.51, 1314.00
16, 29.00, 1326.00
17, 30.47, 1329.00
18, 30.49, 1323.00
19, 28.70, 1332.00
21, 30.52, 1323.00
20, 30.65, 1317.00
22, 29.71, 1329.00
23, 30.11, 1320.00
24, 31.05, 1326.00
26, 29.55, 1335.00
27, 30.88, 1326.00
25, 32.38, 1326.00
28, 28.88, 1335.00
29, 29.92, 1329.00
30, 30.83, 1317.00
