Seed, Runtime(s), ecmin
1, 206.85, 2544.00
2, 208.59, 2559.00
5, 212.21, 2538.00
6, 214.05, 2547.00
4, 216.92, 2547.00
3, 218.70, 2547.00
9, 193.44, 2550.00
11, 196.93, 2547.00
7, 198.68, 2553.00
8, 199.14, 2547.00
10, 199.56, 2544.00
12, 201.10, 2553.00
15, 186.51, 2550.00
14, 189.98, 2544.00
17, 195.39, 2547.00
16, 198.57, 2544.00
13, 200.33, 2547.00
18, 200.66, 2544.00
19, 191.28, 2550.00
20, 192.45, 2544.00
21, 194.56, 2547.00
23, 195.29, 2541.00
22, 199.38, 2553.00
24, 199.67, 2544.00
29, 191.76, 2550.00
26, 197.86, 2541.00
30, 199.91, 2550.00
28, 200.37, 2544.00
25, 202.59, 2538.00
27, 202.95, 2544.00
