Input, avgRuntime, ecmin, best, worst, std
100 4 20, 9.56, 696.60, 696.00, 699.00, 1.21
150 4 20, 17.60, 1054.60, 1044.00, 1065.00, 4.96
200 4 20, 30.56, 1324.10, 1314.00, 1335.00, 5.86
250 4 20, 41.80, 1750.80, 1740.00, 1761.00, 5.76
300 4 20, 60.75, 1935.20, 1923.00, 1944.00, 4.97
350 4 20, 83.19, 2321.00, 2310.00, 2331.00, 5.58
400 4 20, 179.54, 2714.10, 2703.00, 2727.00, 6.00
450 4 20, 246.95, 2850.80, 2835.00, 2865.00, 8.33
500 4 20, 299.11, 3372.40, 3363.00, 3384.00, 4.83
