Seed, Runtime(s), ecmin
6, 294.91, 3384.00
5, 302.42, 3366.00
1, 302.73, 3375.00
3, 306.66, 3375.00
4, 310.07, 3366.00
2, 311.09, 3366.00
11, 277.82, 3372.00
7, 292.43, 3375.00
8, 294.93, 3369.00
10, 296.83, 3378.00
12, 299.92, 3375.00
9, 315.76, 3363.00
14, 289.67, 3366.00
15, 295.07, 3375.00
16, 296.50, 3372.00
18, 301.30, 3375.00
13, 304.51, 3366.00
17, 305.71, 3372.00
20, 292.59, 3375.00
19, 293.32, 3375.00
24, 297.79, 3381.00
22, 298.50, 3375.00
23, 299.75, 3375.00
21, 301.03, 3369.00
29, 292.72, 3375.00
25, 293.44, 3372.00
30, 294.20, 3372.00
28, 295.17, 3372.00
26, 299.35, 3375.00
27, 317.17, 3366.00
