Seed, Runtime(s), ecmin
2, 16.97, 1059.00
3, 17.83, 1053.00
1, 19.20, 1056.00
5, 17.24, 1059.00
4, 17.51, 1056.00
6, 19.38, 1044.00
9, 16.85, 1065.00
8, 17.01, 1062.00
7, 18.25, 1050.00
10, 16.85, 1059.00
12, 17.55, 1050.00
11, 18.69, 1056.00
13, 16.85, 1056.00
14, 18.23, 1050.00
15, 19.20, 1044.00
17, 16.47, 1056.00
18, 16.56, 1053.00
16, 17.89, 1044.00
19, 16.51, 1056.00
20, 16.88, 1053.00
21, 17.47, 1056.00
23, 17.00, 1056.00
22, 17.28, 1056.00
24, 17.50, 1056.00
27, 16.71, 1059.00
25, 17.93, 1053.00
26, 18.22, 1056.00
29, 17.28, 1056.00
28, 17.81, 1059.00
30, 18.92, 1050.00
