Seed, Runtime(s), ecmin
5, 28.44, 891.00
2, 29.87, 891.00
3, 30.02, 897.00
6, 30.21, 900.00
4, 30.27, 894.00
1, 31.01, 891.00
11, 27.34, 900.00
10, 27.65, 891.00
7, 27.72, 900.00
12, 27.95, 894.00
8, 28.58, 888.00
9, 29.35, 891.00
15, 27.63, 900.00
14, 28.62, 897.00
13, 28.87, 891.00
17, 29.33, 894.00
16, 29.63, 894.00
18, 29.73, 891.00
23, 28.34, 891.00
19, 28.31, 891.00
21, 28.82, 891.00
20, 28.85, 894.00
24, 29.36, 888.00
22, 29.83, 888.00
28, 26.75, 906.00
25, 28.09, 900.00
26, 28.05, 894.00
27, 28.99, 891.00
29, 29.35, 897.00
30, 29.76, 888.00
