Seed, Runtime(s), ecmin
4, 13.49, 708.00
2, 13.64, 705.00
5, 13.82, 708.00
6, 13.89, 705.00
1, 14.24, 711.00
3, 14.62, 705.00
7, 12.52, 711.00
9, 13.20, 708.00
8, 13.67, 708.00
11, 13.87, 708.00
12, 13.94, 711.00
10, 13.97, 708.00
16, 13.49, 711.00
13, 13.99, 708.00
17, 14.18, 705.00
14, 14.27, 708.00
18, 14.45, 705.00
15, 14.68, 705.00
24, 13.18, 711.00
20, 14.34, 708.00
23, 14.43, 708.00
22, 14.49, 708.00
21, 14.51, 705.00
19, 14.93, 705.00
25, 14.21, 702.00
28, 15.01, 711.00
29, 15.08, 708.00
30, 15.26, 708.00
26, 15.72, 708.00
27, 15.73, 708.00
