Seed, Runtime(s), ecmin
6, 247.31, 2844.00
5, 249.21, 2856.00
1, 252.78, 2859.00
4, 253.65, 2856.00
3, 255.36, 2841.00
2, 256.22, 2850.00
9, 234.97, 2847.00
8, 239.33, 2838.00
11, 240.26, 2862.00
7, 245.32, 2850.00
10, 245.66, 2841.00
12, 245.68, 2847.00
13, 235.54, 2865.00
18, 237.94, 2859.00
17, 246.09, 2853.00
14, 247.23, 2844.00
15, 247.51, 2838.00
16, 248.32, 2859.00
24, 247.56, 2847.00
19, 248.12, 2856.00
23, 248.42, 2835.00
22, 249.61, 2844.00
20, 251.38, 2844.00
21, 255.88, 2862.00
27, 241.00, 2850.00
26, 243.37, 2865.00
30, 246.05, 2850.00
29, 248.39, 2850.00
28, 248.70, 2859.00
25, 251.82, 2853.00
