Seed, Runtime(s), ecmin
1, 40.41, 1746.00
3, 41.93, 1746.00
2, 43.94, 1749.00
5, 40.64, 1758.00
4, 42.65, 1740.00
6, 42.74, 1743.00
9, 41.02, 1749.00
7, 41.24, 1755.00
8, 41.33, 1758.00
10, 41.50, 1749.00
11, 41.90, 1746.00
12, 42.69, 1749.00
15, 40.52, 1755.00
13, 41.04, 1755.00
14, 41.05, 1752.00
16, 41.59, 1749.00
18, 43.17, 1755.00
17, 43.31, 1749.00
20, 39.43, 1761.00
19, 41.02, 1746.00
21, 41.55, 1755.00
22, 41.01, 1758.00
23, 41.80, 1758.00
24, 42.91, 1743.00
26, 40.17, 1749.00
25, 41.93, 1758.00
27, 42.89, 1746.00
28, 42.45, 1740.00
29, 43.01, 1755.00
30, 43.25, 1752.00
