Seed, Runtime(s), mecmin
1, 47.80, 2328
2, 48.43, 2328
4, 44.08, 2325
3, 45.14, 2331
6, 41.17, 2334
5, 44.56, 2328
7, 44.85, 2322
8, 45.43, 2328
9, 44.75, 2334
10, 45.02, 2331
12, 44.78, 2331
11, 45.97, 2331
13, 43.00, 2334
14, 44.12, 2334
16, 45.47, 2328
15, 45.82, 2334
18, 43.72, 2334
17, 44.26, 2334
19, 45.08, 2328
20, 45.91, 2331
22, 43.38, 2331
21, 43.91, 2334
23, 42.12, 2334
24, 42.34, 2331
26, 44.37, 2325
25, 47.21, 2334
27, 42.37, 2334
28, 42.57, 2334
30, 45.81, 2334
29, 46.40, 2325
