Input, avgRuntime, mecmin, best, worst, std
100 4 20, 7.87, 22.63, 20, 26, 1.49
150 4 20, 12.65, 18.30, 17, 20, .79
200 4 20, 20.38, 20.00, 20, 20, 0
250 4 20, 28.32, 22.83, 21, 24, 1.31
300 4 20, 42.69, 21.63, 18, 24, 1.40
350 4 20, 61.90, 22.53, 19, 27, 2.04
400 4 20, 79.31, 21.76, 21, 24, 1.00
450 4 20, 107.04, 26.63, 23, 37, 3.02
500 4 20, 133.81, 24.70, 24, 27, .70
