Seed, Runtime(s), mecmin
4, 99.83, 27
2, 103.60, 30
1, 104.47, 37
3, 106.59, 27
5, 112.24, 24
8, 100.06, 25
7, 101.43, 27
10, 107.32, 25
6, 110.67, 24
9, 110.83, 27
12, 103.52, 30
13, 109.54, 26
11, 111.18, 25
15, 111.53, 30
14, 115.32, 24
19, 101.33, 30
20, 103.75, 27
16, 106.66, 27
17, 109.55, 24
18, 111.47, 24
25, 100.06, 32
22, 101.26, 24
21, 106.51, 28
24, 111.99, 23
23, 115.60, 24
30, 101.44, 27
26, 106.19, 25
27, 106.72, 26
29, 106.97, 24
28, 113.83, 26
