Seed, Runtime(s), melmax
1, 27.02, 165.00
5, 27.06, 166.00
3, 27.83, 166.00
4, 28.06, 165.00
2, 28.24, 168.00
6, 28.17, 166.00
12, 26.80, 165.00
8, 27.62, 166.00
10, 27.78, 168.00
11, 28.02, 165.00
9, 29.08, 165.00
7, 30.51, 169.00
17, 25.54, 165.00
18, 26.03, 166.00
16, 26.10, 168.00
14, 26.28, 166.00
15, 26.66, 166.00
13, 26.82, 168.00
20, 24.59, 164.00
21, 25.73, 165.00
22, 25.98, 166.00
23, 26.27, 166.00
19, 26.55, 166.00
24, 27.03, 165.00
29, 26.40, 168.00
27, 27.15, 166.00
25, 27.95, 166.00
28, 27.99, 168.00
30, 28.13, 167.00
26, 28.53, 165.00
