Seed, Runtime(s), melmax
6, 75.67, 277.00
2, 78.70, 280.00
1, 79.30, 279.00
3, 80.00, 280.00
4, 80.83, 276.00
5, 82.86, 279.00
8, 81.36, 274.00
12, 81.75, 280.00
9, 83.16, 277.00
7, 83.77, 277.00
10, 84.29, 279.00
11, 88.69, 279.00
13, 85.24, 277.00
17, 86.23, 277.00
15, 86.51, 279.00
14, 86.62, 280.00
18, 88.46, 273.00
16, 89.73, 280.00
22, 82.56, 279.00
24, 85.28, 279.00
21, 87.21, 279.00
20, 87.28, 280.00
23, 87.95, 277.00
19, 88.22, 279.00
29, 80.82, 278.00
27, 80.82, 279.00
25, 83.39, 276.00
26, 86.11, 277.00
28, 89.75, 279.00
30, 90.84, 282.00
