Seed, Runtime(s), ecmin
5, 109.84, 330.00
2, 110.11, 331.00
6, 110.85, 330.00
3, 112.78, 331.00
1, 115.52, 331.00
4, 119.84, 331.00
12, 113.45, 330.00
8, 114.28, 330.00
10, 116.27, 331.00
9, 116.71, 331.00
11, 118.71, 331.00
7, 122.02, 330.00
17, 106.99, 332.00
18, 107.53, 331.00
15, 107.95, 331.00
16, 108.18, 331.00
13, 111.91, 331.00
14, 119.61, 330.00
23, 105.88, 330.00
22, 108.74, 330.00
19, 109.87, 331.00
20, 109.79, 330.00
24, 110.60, 331.00
21, 110.85, 330.00
27, 106.98, 331.00
30, 112.52, 332.00
25, 113.55, 331.00
28, 114.36, 331.00
26, 117.24, 331.00
29, 117.70, 331.00
