Seed, Runtime(s), ecmin
2, 135.69, 327.00
3, 139.62, 325.00
4, 143.57, 321.00
6, 144.39, 327.00
1, 146.84, 329.00
5, 148.32, 330.00
12, 136.98, 328.00
8, 140.77, 327.00
11, 142.93, 327.00
9, 144.00, 323.00
10, 146.04, 328.00
7, 146.82, 327.00
15, 138.24, 326.00
14, 138.48, 327.00
16, 138.54, 327.00
13, 143.71, 329.00
17, 148.98, 326.00
18, 149.14, 328.00
23, 143.43, 324.00
22, 146.04, 329.00
20, 147.18, 326.00
24, 148.37, 329.00
19, 153.23, 327.00
21, 153.73, 326.00
26, 142.78, 324.00
28, 146.94, 327.00
30, 148.66, 326.00
29, 151.24, 329.00
27, 152.90, 328.00
25, 157.61, 326.00
