Seed, Runtime(s), ecmin
6, 184.49, 372.00
5, 185.18, 376.00
1, 186.49, 376.00
4, 190.75, 376.00
2, 192.80, 373.00
3, 194.25, 376.00
11, 165.93, 371.00
7, 169.35, 370.00
8, 173.26, 373.00
9, 176.42, 374.00
12, 176.54, 370.00
10, 178.75, 375.00
13, 173.30, 373.00
14, 176.54, 374.00
18, 176.33, 376.00
15, 177.70, 373.00
17, 182.81, 373.00
16, 188.21, 374.00
20, 168.42, 373.00
24, 168.89, 374.00
22, 175.88, 376.00
21, 178.59, 373.00
23, 179.22, 374.00
19, 180.05, 374.00
26, 173.27, 376.00
29, 177.24, 374.00
30, 178.87, 373.00
27, 179.36, 372.00
28, 179.73, 377.00
25, 184.78, 376.00
