Seed, Runtime(s), melmax
3, 103.01, 311.00
1, 108.77, 310.00
6, 109.21, 309.00
5, 110.01, 309.00
2, 110.13, 310.00
4, 114.26, 309.00
9, 107.07, 310.00
12, 110.53, 310.00
10, 113.83, 310.00
7, 114.71, 310.00
11, 114.98, 310.00
8, 115.18, 309.00
17, 106.60, 310.00
18, 110.06, 310.00
16, 111.96, 309.00
15, 113.57, 309.00
14, 113.60, 310.00
13, 115.00, 309.00
22, 105.92, 309.00
20, 108.34, 309.00
21, 108.86, 309.00
23, 109.55, 309.00
24, 109.82, 309.00
19, 112.07, 309.00
27, 109.41, 309.00
25, 111.42, 309.00
29, 113.84, 310.00
28, 115.22, 310.00
26, 120.89, 310.00
30, 121.04, 310.00
