Input, avgRuntime, melmax, best, worst, std
100 4 20, 9.40, 74.60, 73.00, 76.00, 1.30
150 4 20, 15.97, 178.56, 177.00, 180.00, .89
200 4 20, 27.19, 166.16, 164.00, 169.00, 1.26
250 4 20, 39.01, 213.56, 211.00, 216.00, 1.42
300 4 20, 58.71, 183.20, 180.00, 186.00, 1.37
350 4 20, 84.44, 278.23, 273.00, 282.00, 1.90
400 4 20, 111.62, 309.53, 309.00, 311.00, .56
450 4 20, 151.33, 278.33, 276.00, 282.00, 1.64
500 4 20, 183.70, 304.86, 301.00, 308.00, 1.50
