Seed, Runtime(s), ecmin
6, 66.24, 277.00
2, 68.21, 277.00
5, 71.52, 277.00
1, 73.10, 277.00
3, 76.09, 277.00
4, 77.88, 277.00
10, 66.56, 277.00
11, 71.72, 277.00
7, 72.55, 278.00
8, 73.81, 277.00
12, 73.82, 277.00
9, 76.91, 277.00
15, 71.67, 277.00
17, 72.18, 277.00
18, 72.29, 277.00
14, 72.58, 277.00
13, 73.48, 277.00
16, 73.91, 278.00
23, 76.78, 277.00
20, 77.16, 277.00
24, 79.83, 277.00
21, 79.97, 277.00
22, 80.47, 277.00
19, 83.80, 277.00
27, 77.54, 277.00
25, 79.90, 277.00
29, 80.80, 277.00
28, 80.93, 277.00
26, 82.47, 277.00
30, 85.65, 277.00
