Seed, Runtime(s), ecmin
4, 15.62, 183.00
3, 15.76, 185.00
5, 16.33, 185.00
6, 16.25, 185.00
2, 16.46, 185.00
1, 16.85, 185.00
11, 14.68, 185.00
12, 15.32, 185.00
7, 15.59, 183.00
10, 16.68, 185.00
8, 16.89, 185.00
9, 17.26, 185.00
18, 15.72, 183.00
15, 16.18, 179.00
13, 16.43, 182.00
14, 16.62, 185.00
17, 16.61, 185.00
16, 17.01, 182.00
24, 15.10, 185.00
23, 15.66, 185.00
19, 16.05, 185.00
20, 16.15, 183.00
21, 16.52, 185.00
22, 16.70, 183.00
30, 14.69, 183.00
28, 15.36, 185.00
29, 15.96, 186.00
27, 16.25, 185.00
26, 16.87, 185.00
25, 17.16, 185.00
