Seed, Runtime(s), melmax
1, 14.32, 179.00
2, 15.07, 180.00
4, 15.50, 178.00
5, 15.77, 180.00
6, 16.16, 178.00
3, 16.15, 178.00
10, 15.84, 178.00
11, 15.91, 179.00
12, 16.09, 180.00
9, 16.37, 180.00
8, 17.43, 178.00
7, 17.75, 178.00
16, 15.33, 178.00
18, 15.53, 177.00
15, 16.40, 178.00
13, 16.47, 178.00
17, 16.47, 178.00
14, 16.64, 178.00
21, 15.79, 179.00
24, 15.74, 178.00
19, 15.79, 179.00
20, 16.02, 178.00
22, 17.08, 178.00
23, 17.14, 178.00
25, 14.83, 178.00
27, 15.27, 180.00
30, 15.33, 178.00
26, 15.69, 178.00
29, 15.63, 180.00
28, 15.69, 180.00
