Seed, Runtime(s), ecmin
2, 24.70, 177.00
3, 25.53, 177.00
4, 25.98, 177.00
5, 26.01, 177.00
1, 26.05, 177.00
6, 26.49, 177.00
8, 23.38, 177.00
11, 23.94, 177.00
9, 24.37, 177.00
12, 25.43, 177.00
10, 25.58, 174.00
7, 26.46, 177.00
14, 24.51, 176.00
15, 24.57, 174.00
16, 25.50, 177.00
18, 25.47, 174.00
13, 25.80, 177.00
17, 25.95, 174.00
23, 26.10, 177.00
20, 26.18, 177.00
19, 26.38, 177.00
22, 26.46, 177.00
21, 27.05, 176.00
24, 27.60, 177.00
28, 23.94, 177.00
26, 24.19, 176.00
30, 24.46, 177.00
27, 24.77, 174.00
25, 25.44, 177.00
29, 26.15, 177.00
