Seed, Runtime(s), ecmin
1, 8.56, 124.00
4, 8.69, 124.00
6, 8.73, 126.00
5, 8.76, 127.00
3, 8.84, 124.00
2, 8.90, 127.00
10, 8.26, 124.00
9, 8.39, 127.00
12, 8.51, 129.00
7, 8.56, 124.00
11, 8.64, 126.00
8, 8.73, 126.00
15, 7.69, 127.00
13, 8.09, 127.00
16, 8.10, 124.00
14, 8.25, 126.00
17, 8.50, 124.00
18, 8.63, 124.00
22, 7.75, 127.00
19, 7.80, 126.00
24, 7.80, 126.00
23, 7.83, 124.00
20, 8.21, 124.00
21, 8.34, 124.00
26, 8.03, 127.00
30, 8.24, 124.00
25, 8.34, 127.00
27, 8.51, 124.00
28, 8.57, 124.00
29, 8.62, 126.00
