Seed, Runtime(s), melmax
4, 144.42, 282.00
1, 145.24, 278.00
6, 147.51, 280.00
2, 148.60, 280.00
5, 150.05, 276.00
3, 150.47, 277.00
11, 161.94, 277.00
8, 165.85, 277.00
7, 167.07, 276.00
9, 171.57, 277.00
10, 174.64, 279.00
12, 176.59, 279.00
17, 159.26, 276.00
16, 160.53, 280.00
14, 161.17, 278.00
13, 164.49, 279.00
15, 166.29, 281.00
18, 168.13, 280.00
24, 131.29, 277.00
21, 136.24, 280.00
23, 138.95, 278.00
22, 139.42, 280.00
19, 141.94, 277.00
20, 142.00, 276.00
30, 132.55, 279.00
29, 134.28, 279.00
25, 137.30, 279.00
27, 137.94, 279.00
26, 139.77, 276.00
28, 144.56, 278.00
