Seed, Runtime(s), melmax
3, 37.84, 212.00
2, 37.86, 213.00
5, 38.31, 215.00
1, 38.50, 213.00
4, 39.76, 214.00
6, 39.86, 213.00
9, 37.42, 213.00
12, 38.23, 211.00
8, 38.34, 212.00
11, 38.29, 213.00
10, 39.74, 215.00
7, 41.50, 213.00
18, 40.75, 215.00
16, 41.82, 215.00
15, 42.10, 213.00
13, 42.86, 215.00
14, 42.94, 215.00
17, 44.68, 215.00
21, 36.29, 211.00
24, 36.58, 212.00
23, 37.41, 215.00
19, 38.40, 213.00
20, 38.82, 215.00
22, 39.22, 216.00
27, 36.36, 215.00
26, 36.51, 213.00
30, 36.65, 215.00
25, 37.14, 213.00
28, 37.08, 213.00
29, 39.05, 211.00
