Seed, Runtime(s), ecmin
3, 46.52, 227.00
6, 47.47, 226.00
1, 48.71, 228.00
2, 49.63, 226.00
4, 49.68, 226.00
5, 52.35, 227.00
9, 48.57, 227.00
10, 51.40, 226.00
11, 52.16, 226.00
8, 52.41, 229.00
12, 53.86, 226.00
7, 55.48, 226.00
18, 45.12, 226.00
13, 47.56, 229.00
14, 48.60, 226.00
17, 48.52, 226.00
16, 48.79, 223.00
15, 48.77, 227.00
19, 44.57, 226.00
23, 47.45, 226.00
22, 47.77, 226.00
21, 48.29, 226.00
24, 49.62, 227.00
20, 50.48, 226.00
29, 44.55, 226.00
26, 49.00, 226.00
28, 51.31, 226.00
25, 51.42, 226.00
30, 51.98, 226.00
27, 52.85, 226.00
