Seed, Runtime(s), ecmin, melmax 
1, 16.44, 1941
2, 16.04, 1938
3, 26.66, 1938
4, 23.40, 1941
5, 17.35, 1932
6, 15.73, 1935
7, 16.36, 1932
8, 20.18, 1935
9, 17.08, 1947
10, 19.17, 1941
11, 19.12, 1938
12, 17.80, 1947
13, 19.24, 1944
14, 15.24, 1944
15, 16.67, 1947
16, 16.64, 1944
17, 16.02, 1941
18, 15.68, 1944
19, 27.29, 1938
20, 18.77, 1941
21, 15.74, 1941
22, 16.84, 1935
23, 21.51, 1935
24, 15.67, 1938
25, 15.78, 1935
26, 15.79, 1938
27, 19.38, 1941
28, 15.17, 1944
29, 16.72, 1941
30, 28.27, 1935
