Seed, Runtime(s), ecmin, melmax 
1, 33.42, 1761
2, 13.36, 1761
3, 12.95, 1761
4, 13.18, 1755
5, 20.02, 1761
6, 15.10, 1761
7, 11.85, 1761
8, 14.84, 1764
9, 12.96, 1758
10, 12.00, 1761
11, 25.31, 1755
12, 16.60, 1761
13, 14.86, 1758
14, 15.39, 1764
15, 16.44, 1761
16, 29.78, 1758
17, 20.21, 1761
18, 16.86, 1761
19, 20.65, 1761
20, 14.88, 1749
21, 15.14, 1761
22, 11.62, 1764
23, 15.80, 1752
24, 13.71, 1761
25, 15.68, 1758
26, 16.46, 1758
27, 15.58, 1761
28, 11.08, 1764
29, 17.62, 1764
30, 18.75, 1761
