Seed, Runtime(s), ecmin
2, 29.11, 3390
3, 31.36, 3393
4, 32.01, 3384
1, 41.03, 3390
5, 31.12, 3405
6, 31.68, 3387
7, 31.81, 3384
8, 31.95, 3399
11, 32.34, 3387
10, 33.35, 3405
9, 34.42, 3399
12, 52.72, 3393
16, 29.72, 3393
15, 31.22, 3378
14, 32.63, 3393
13, 34.03, 3390
19, 31.71, 3393
20, 32.11, 3378
17, 32.86, 3390
18, 46.38, 3393
22, 37.47, 3384
21, 38.23, 3390
23, 38.68, 3390
24, 52.99, 3396
28, 32.46, 3396
26, 32.90, 3390
25, 33.01, 3390
27, 33.29, 3396
29, 20.68, 3384
30, 23.08, 3390
