Seed, Runtime(s), melmax
3, 219.96, 304.00
1, 229.13, 302.00
4, 231.78, 300.00
2, 233.47, 305.00
6, 211.80, 302.00
5, 212.42, 306.00
8, 238.38, 305.00
7, 272.79, 305.00
9, 236.22, 304.00
10, 244.80, 301.00
12, 255.30, 305.00
11, 263.57, 305.00
13, 237.68, 304.00
16, 243.16, 303.00
14, 251.57, 303.00
15, 252.85, 303.00
18, 216.32, 305.00
19, 225.05, 302.00
20, 240.93, 304.00
17, 247.78, 305.00
24, 224.05, 304.00
21, 225.38, 306.00
23, 226.57, 304.00
22, 241.92, 305.00
26, 224.33, 305.00
27, 227.38, 305.00
25, 228.40, 304.00
28, 228.68, 303.00
29, 158.65, 303.00
30, 164.01, 305.00
