Seed, Runtime(s), melmax
4, 178.50, 279.00
3, 179.65, 275.00
1, 181.74, 281.00
2, 186.06, 277.00
5, 166.54, 278.00
7, 181.60, 279.00
8, 189.27, 282.00
6, 192.85, 281.00
12, 178.41, 272.00
11, 182.29, 279.00
9, 182.78, 282.00
10, 182.93, 281.00
16, 170.48, 274.00
14, 177.02, 280.00
15, 179.04, 278.00
13, 183.41, 279.00
17, 172.36, 278.00
19, 186.68, 274.00
20, 190.23, 278.00
18, 195.00, 279.00
23, 166.06, 275.00
22, 179.77, 278.00
21, 188.74, 278.00
24, 191.84, 277.00
25, 184.26, 275.00
27, 187.50, 279.00
26, 191.93, 278.00
28, 193.49, 277.00
29, 154.25, 279.00
30, 158.84, 279.00
