Seed, Runtime(s), melmax
2, 154.34, 309.00
1, 160.00, 309.00
3, 163.62, 310.00
4, 167.49, 310.00
8, 139.86, 310.00
7, 147.47, 310.00
6, 152.83, 309.00
5, 158.57, 311.00
10, 122.94, 309.00
12, 131.13, 309.00
11, 139.74, 309.00
9, 143.72, 309.00
14, 132.74, 310.00
13, 135.29, 309.00
16, 139.25, 309.00
15, 141.27, 307.00
18, 143.60, 309.00
19, 145.38, 309.00
20, 145.46, 310.00
17, 166.01, 307.00
21, 128.13, 309.00
22, 128.90, 310.00
23, 131.06, 310.00
24, 141.03, 310.00
27, 134.68, 311.00
28, 136.15, 309.00
26, 136.97, 309.00
25, 137.82, 310.00
29, 95.09, 309.00
30, 111.95, 310.00
