Seed, Runtime(s), melmax
4, 22.49, 178.00
3, 23.13, 180.00
1, 23.93, 178.00
2, 25.97, 178.00
8, 22.59, 178.00
6, 23.49, 178.00
7, 25.57, 178.00
5, 25.97, 178.00
9, 23.54, 178.00
11, 23.62, 180.00
10, 23.79, 180.00
12, 24.52, 180.00
16, 24.19, 178.00
13, 24.24, 178.00
15, 25.34, 180.00
14, 25.49, 178.00
19, 23.28, 178.00
20, 24.40, 176.00
17, 24.81, 178.00
18, 25.34, 180.00
24, 23.28, 178.00
23, 24.55, 178.00
21, 24.73, 178.00
22, 24.91, 180.00
28, 22.58, 179.00
27, 23.26, 178.00
26, 23.65, 180.00
25, 24.81, 179.00
30, 19.38, 178.00
29, 19.68, 178.00
