Seed, Runtime(s), melmax
4, 36.91, 164.00
3, 37.32, 166.00
2, 39.45, 165.00
1, 41.84, 165.00
5, 33.77, 165.00
8, 33.86, 167.00
6, 34.95, 165.00
7, 37.53, 165.00
11, 34.61, 166.00
9, 34.78, 165.00
10, 36.88, 165.00
12, 37.04, 168.00
15, 34.91, 167.00
13, 36.47, 166.00
14, 36.67, 165.00
16, 37.42, 166.00
17, 33.69, 166.00
19, 34.82, 166.00
18, 36.78, 165.00
20, 37.41, 165.00
21, 33.61, 165.00
24, 35.74, 165.00
22, 36.42, 166.00
23, 37.05, 168.00
28, 32.41, 166.00
25, 34.47, 166.00
26, 35.32, 166.00
27, 37.08, 166.00
29, 31.23, 168.00
30, 34.60, 165.00
