Seed, Runtime(s), melmax
2, 111.76, 274.00
4, 113.17, 279.00
3, 114.41, 276.00
1, 117.82, 278.00
8, 123.75, 276.00
5, 125.49, 279.00
6, 128.41, 274.00
7, 132.47, 279.00
12, 118.53, 279.00
11, 121.71, 279.00
10, 121.79, 277.00
9, 122.87, 277.00
14, 116.10, 276.00
13, 121.35, 277.00
15, 123.90, 280.00
16, 128.26, 277.00
19, 110.79, 274.00
20, 115.78, 276.00
18, 119.42, 280.00
17, 131.61, 278.00
23, 108.62, 277.00
24, 108.85, 277.00
21, 116.87, 273.00
22, 117.43, 276.00
28, 123.67, 279.00
26, 124.47, 278.00
27, 132.13, 278.00
25, 145.44, 279.00
29, 91.82, 273.00
30, 95.34, 274.00
