Seed, Runtime(s), melmax
4, 47.76, 210.00
3, 48.02, 212.00
2, 49.10, 215.00
1, 50.50, 212.00
8, 47.63, 215.00
6, 51.46, 213.00
7, 51.62, 214.00
5, 52.20, 215.00
10, 51.51, 211.00
12, 54.73, 210.00
11, 54.84, 213.00
9, 55.67, 213.00
16, 49.89, 211.00
13, 53.52, 215.00
15, 54.29, 211.00
14, 56.28, 214.00
20, 49.79, 213.00
18, 50.72, 211.00
19, 51.37, 213.00
17, 54.16, 213.00
22, 48.01, 214.00
24, 48.87, 214.00
23, 49.16, 210.00
21, 49.28, 213.00
27, 45.47, 215.00
26, 48.21, 213.00
28, 51.81, 214.00
25, 51.82, 216.00
29, 42.95, 214.00
30, 46.00, 210.00
