Seed, Runtime(s), melmax
1, 81.41, 184.00
4, 83.46, 185.00
2, 84.88, 182.00
3, 89.83, 184.00
7, 70.97, 182.00
5, 72.94, 184.00
8, 75.53, 184.00
6, 77.41, 185.00
9, 70.42, 184.00
10, 74.64, 182.00
12, 75.69, 184.00
11, 77.49, 184.00
13, 78.73, 184.00
16, 79.18, 182.00
14, 81.67, 185.00
15, 83.56, 185.00
19, 79.22, 184.00
17, 81.09, 182.00
18, 81.29, 184.00
20, 81.99, 183.00
21, 76.96, 180.00
23, 79.79, 185.00
24, 83.14, 183.00
22, 86.81, 185.00
27, 75.35, 182.00
25, 76.86, 184.00
26, 77.48, 182.00
28, 82.84, 181.00
30, 65.47, 182.00
29, 73.70, 184.00
