Seed, Runtime(s), mecmin
2, 96.08, 24
1, 96.63, 27
3, 97.37, 21
6, 97.30, 23
4, 97.88, 27
5, 97.92, 22
10, 96.79, 21
7, 97.08, 23
8, 97.40, 23
9, 97.96, 23
11, 98.79, 18
12, 101.70, 20
17, 86.65, 23
13, 88.68, 23
14, 90.26, 23
15, 90.90, 22
18, 93.16, 24
16, 94.59, 20
22, 93.53, 24
23, 98.38, 23
19, 98.97, 24
24, 100.01, 20
21, 100.05, 23
20, 101.31, 27
25, 106.81, 24
28, 107.22, 23
27, 108.84, 27
30, 110.16, 23
29, 112.87, 21
26, 113.87, 21
