Seed, Runtime(s), melmax
1, 102.05, 183.00
6, 102.02, 186.00
2, 104.58, 182.00
5, 107.31, 182.00
3, 109.31, 185.00
4, 111.63, 185.00
12, 97.58, 185.00
8, 99.21, 184.00
11, 99.33, 183.00
9, 104.23, 184.00
10, 104.84, 182.00
7, 108.23, 184.00
13, 99.52, 184.00
16, 100.85, 183.00
15, 102.50, 185.00
14, 102.77, 184.00
17, 103.36, 183.00
18, 106.91, 182.00
24, 99.76, 185.00
20, 103.62, 183.00
19, 103.63, 182.00
23, 104.72, 184.00
21, 106.79, 186.00
22, 107.65, 185.00
26, 101.98, 185.00
25, 106.44, 184.00
27, 106.56, 184.00
30, 109.60, 186.00
28, 109.87, 185.00
29, 110.11, 183.00
