Seed, Runtime(s), melmax
3, 297.51, 327.00
5, 316.63, 326.00
2, 317.54, 329.00
4, 320.53, 328.00
6, 321.30, 327.00
1, 322.83, 326.00
9, 290.08, 324.00
11, 295.51, 324.00
8, 296.88, 327.00
10, 297.52, 329.00
7, 299.94, 327.00
12, 305.01, 328.00
13, 274.96, 326.00
15, 276.04, 326.00
18, 281.00, 326.00
17, 285.27, 327.00
14, 286.37, 326.00
16, 288.82, 327.00
22, 263.90, 321.00
23, 265.64, 323.00
24, 268.31, 326.00
19, 269.40, 325.00
21, 270.64, 323.00
20, 275.67, 327.00
29, 264.29, 327.00
27, 264.50, 326.00
28, 267.27, 327.00
30, 268.26, 326.00
26, 269.14, 328.00
25, 270.59, 326.00
